"Comment","Designator","Footprint","LCSC Part #"
"22pF","C1,C2","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1804"
"1uF","C3","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C28323"
"100nF","C4,C5,C6","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"10uF","C7","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C15850"
"D_Small","D80,D81,D82,D83,D73,D72,D59,D78,D70,D71,D58,D43,D44,D68,D69,D56,D57,D42,D11,D67,D54,D55,D41,D40,D10,D66,D52,D53,D39,D38,D23,D24,D77,D65,D51,D36,D37,D22,D21,D64,D63,D49,D50,D35,D34,D19,D62,D61,D47,D48,D33,D32,D17,D76,D75,D74,D60,D46,D16,D31,D14,D3,D2,D5,D6,D7,D9,D12,D13,D18,D4,D20,D8,D45,D15,D26,D25,D27,D28,D29,D30,D79,D1","Diode-Hybrid-Back","C81598"
"500mA","F1","Fuse_1206_3216Metric","C151162"
"2N7002","Q1","SOT-23","C8545"
"22","R1,R2","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17561"
"4.7k","R4","Resistor-Hybrid-Back","C17673"
"470","R5","Resistor-Hybrid-Back","C17710"
"10k","R6,R3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"ATmega32U4-AU","U1","ATMEGA32U4-AU","C44854"
"SRV05-4","U2","SOT-23-6","C85364"
"16MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","C89379"
